,,Bohman A,Bohman B,Bohman C,Bohman D,Bohman E,Witkovsky GP,Witkovsky FFT
Normal,sup_error_pdf,6.651816319980242e-10,1.9672553532301684e-06,6.651292294712619e-10,6.651292294712619e-10,6.651292294712619e-10,1.6653345369377348e-16,0.0019597246862250173
Normal,sup_error_cdf,3.3306690738754696e-16,1.1930268342674744e-06,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-15,2.220446049250313e-16,0.03989422750639193
Normal,mae_pdf,3.132572123989985e-10,9.268211610824542e-07,3.1327684946874657e-10,3.1327684946874657e-10,3.1327185346513575e-10,3.2966684937463244e-17,0.0006271973713399613
Normal,mae_cdf,5.314151896307351e-17,8.501443665613443e-07,3.236647061477527e-17,3.232136780439987e-17,5.249481405122936e-16,3.55653007044765e-17,0.023826044639102647
Normal,mse_pdf,1.3201111808162128e-19,1.1556321044833225e-12,1.3202411077952077e-19,1.3202411077952077e-19,1.3201620583837102e-19,1.96151150010979e-33,6.305983275830119e-07
Normal,mse_cdf,6.462445891329218e-33,8.173480832418441e-13,2.8749680356705035e-33,2.8706948786063944e-33,3.882344952381691e-31,3.7630624812760676e-33,0.0007004007473424746
Normal,mae_std_pdf,1.8406802264823193e-10,5.44641753681348e-07,1.840698953290763e-10,1.840698953290763e-10,1.8405692506637603e-10,2.95754828252021e-17,0.00048705419099649943
Normal,mae_std_cdf,6.031935720501767e-17,3.0757542041888613e-07,4.274786094781109e-17,4.273200278314951e-17,3.3565450244388864e-16,4.998171532746982e-17,0.011520431597729428
Normal,mse_std_pdf,1.3601782950007857e-19,1.1907907673648072e-12,1.3603571167972766e-19,1.3603571167972766e-19,1.3602145635136446e-19,2.9533465660465353e-33,8.796427946763649e-07
Normal,mse_std_cdf,1.1491946892634518e-32,4.5246809199842476e-13,5.073771542191592e-33,5.0749311243100144e-33,3.54784899144805e-31,7.52954470023213e-33,0.0005476209531297203
Laplace,sup_error_pdf,0.00012364647903795323,0.0008929111790132449,0.00012364647959306474,0.0001236806789031153,0.0008915205852620955,0.00011040359068736905,0.0199180386468214
